stop_id,stop_name,total_trips,total_flow,Median_Age,pop_density,Percent_Male,average_flow
394,WARREN ST @ WAVERLY ST,1685,2935.4,31.7,7904.600029332029,0.406,1.7420771513353117
395,WARREN ST @ WHITING ST,1685,1208.3,35.7,10060.699965116266,0.468,0.7170919881305637
396,WARREN ST @ MORELAND ST,2003,1342.4,31.7,7904.600029332029,0.406,0.6701947079380929
401,WARREN ST @ WALNUT AVE,1633,1457.0,31.7,7904.600029332029,0.406,0.8922229026331905
404,WARREN ST OPP WAVERLY ST,1633,3014.5,31.7,7904.600029332029,0.406,1.8459889773423148
405,WARREN ST OPP WOODBINE ST,1633,4612.4,45.2,8005.3999681264395,0.451,2.824494794856093
406,WARREN ST @ ML KING BLVD,1633,4857.9,45.2,8005.3999681264395,0.451,2.974831598285364
407,WARREN ST @ TOWNSEND ST,1643,5128.2,36.6,8409.00002349209,0.424,3.1212416311625075
410,WARREN ST @ WAUMBECK ST,1648,2545.0,36.6,8409.00002349209,0.424,1.5442961165048543
411,WARREN ST @ BRUNSWICK ST,1648,1934.4,37.3,6502.60000411222,0.478,1.1737864077669904
412,WARREN ST @ CRAWFORD ST,1648,5468.2,33.0,9118.60001805215,0.479,3.3180825242718446
413,BLUE HILL AVE @ WAYNE ST,1028,2534.5,35.4,14685.800044531723,0.439,2.465466926070039
414,BLUE HILL AVE @ SEAVER ST,1028,1538.2,30.1,15157.60004128997,0.432,1.4963035019455253
415,BLUE HILL AVE @ FRANKLIN PARK,1477,5524.1,33.0,9620.200010476578,0.444,3.74008124576845
