stop_id,stop_name,total_trips,total_flow,median_age,pop_density,percent_male,average_flow,,geometry
529,MORTON ST @ EVANS ST,623,1074.3,36.2,7024.100023,0.454,1.724398074,,POINT (226914.10490000248 888616.430399999)
530,MORTON ST @ LORNA RD,623,2002.1,36.2,7024.100023,0.454,3.21364366,,POINT (231560.8866999969 888620.6050999984)
532,GALLIVAN BLVD @ STONE TERR,392,423.9,37.4,7296.599993,0.454,1.081377551,,POINT (243068.97839999944 888626.9222999997)
533,DORCHESTER AVE @ GALLIVAN BLV,1066,638.9,37.4,7296.599993,0.454,0.59934334,,POINT (238511.54730000347 888643.5403999984)
534,DORCHESTER AVE @ VAN WINKLE S,1066,94.4,37.4,6419.000006,0.47,0.088555347,,POINT (235695.16700000316 888648.4321999997)
536,DORCHESTER AVE @ HURLCROFT AV,1073,114.7,37.4,6419.000006,0.47,0.106896552,,POINT (246905.24639999866 888650.5516000018)
537,DORCHESTER AVE @ GALLIVAN BLV,1073,652.9,37.4,7296.599993,0.454,0.608480895,,POINT (246888.8783000037 888654.6634999998)
540,MORTON ST @ SELDEN ST,402,1825.8,35.2,7933.699973,0.43,4.541791045,,POINT (246231.56599999964 888656.0604999997)
541,MORTON ST @ NORFOLK ST,402,1251.1,31.5,8981.10001,0.444,3.112189055,,POINT (235698.52440000325 888656.4061999992)
542,MORTON ST @ THEODORE ST,402,755.2,31.5,8981.10001,0.444,1.878606965,,POINT (238500.78980000317 888660.7721000016)
543,MORTON ST OPP WELLINGTON HILL,997,3696.1,31.9,11048.80005,0.444,3.707221665,,POINT (242905.63889999688 888683.6213999987)
545,MORTON ST @ CANTERBURY ST,997,1204.5,20.4,1337.3,0.412,1.208124373,,POINT (242883.59009999782 888691.9464999996)
546,MORTON ST @ SHATTUCK HOSPITAL,997,428.4,20.4,1337.3,0.412,0.429689067,,POINT (231645.33320000023 888698.7285000011)
547,ARBORWAY OPP COURTHOUSE,1570,354.4,31.4,5052.699998,0.48,0.225732484,,POINT (240839.2179000005 888700.4941999987)
550,GENEVA AVE @ FOUR CORNERS@GEN,155,332.5,32.4,6793.300013,0.419,2.14516129,,POINT (226960.02059999853 888700.497200001)
551,GENEVA AVE OPP OLNEY ST,155,258,35.2,5590.299996,0.444,1.664516129,,POINT (240793.632600002 888726.2756999992)
552,GENEVA AVE @ BOWDOIN ST,155,330.5,35.2,5590.299996,0.444,2.132258065,,POINT (231026.3457000032 888726.7481000014)
553,GENEVA AVE @ HOLIDAY ST,675,636.4,29.6,14159.39999,0.484,0.942814815,,POINT (230781.59399999678 888733.4329999983)
554,GENEVA AVE @ WESTVILLE ST,675,1101.1,32.5,13463.10005,0.477,1.631259259,,POINT (242766.9545999989 888733.6964999996)
555,GENEVA AVE @ DAKOTA ST,675,376.2,30.5,8699.600018,0.493,0.557333333,,POINT (239633.32460000366 888736.0577000007)
556,GENEVA AVE @ TONAWANDA ST,675,718.2,37.4,10090.60003,0.475,1.064,,POINT (230392.06220000237 888739.1251000017)
557,452 GENEVA AVE OPP BLOOMFIELD,656,294.4,34.5,11248.89998,0.451,0.448780488,,POINT (241133.76860000193 888743.5361000001)
558,GENEVA AVE @ WESTVILLE ST,658,802.2,30.5,8699.600018,0.493,1.219148936,,POINT (245904.73879999667 886757.0405000001)
559,GENEVA AVE @ TOPLIFF ST,658,673.8,29.6,14159.39999,0.484,1.024012158,,POINT (245904.73879999667 886757.0405000001)
560,GENEVA AVE @ HOLIDAY ST,658,525.1,29.6,14159.39999,0.484,0.798024316,,POINT (240831.03119999915 886771.8583999984)
561,GENEVA AVE @ LEVANT ST,658,580.5,32.5,13463.10005,0.477,0.882218845,,POINT (241951.87340000272 886777.9655000009)
562,GENEVA AVE @ BOWDOIN ST,145,265.5,35.2,5590.299996,0.444,1.831034483,,POINT (235401.31549999863 886789.2052999996)
563,GENEVA AVE @ OLNEY ST,145,352.5,32.4,6793.300013,0.419,2.431034483,,POINT (241910.7995999977 886800.3684)
564,GENEVA AVE @ FOUR CORNERS@GEN,145,103,35.2,5590.299996,0.444,0.710344828,,POINT (243539.53559999913 886801.7263000011)
565,GENEVA AVE @ COLUMBIA RD,145,287,30.1,9883.500048,0.442,1.979310345,,POINT (243411.4007000029 886806.7815999985)
566,GENEVA AVE @ COLUMBIA RD,145,225.5,29.4,8419.400023,0.475,1.555172414,,POINT (240823.0874999985 886817.4838000014)
567,GENEVA AVE @ JEREMIAH BURKE H,145,81.5,30.6,8449.19997,0.423,0.562068966,,POINT (243427.85809999704 886818.2159000002)
568,GENEVA AVE @ BLUE HILL AVE,145,233.5,30.6,8449.19997,0.423,1.610344828,,POINT (243517.11200000346 886823.5810000002)
569,DORCHESTER AVE @ VALLEY RD,472,84.2,47.7,2261.300002,0.524,0.178389831,,POINT (226010.32440000027 886828.4952000007)
570,DORCHESTER AVE @ ST GREGORY S,472,125,38.5,4388.20001,0.455,0.264830508,,POINT (235409.7242999971 886845.5593000017)
571,DORCHESTER AVE @ WASHINGTON S,472,208.4,36.1,4239.800008,0.51,0.441525424,,POINT (226017.85649999976 886848.2096999995)
572,RIVER ST @ WICHITA TER,452,261.8,36.1,4239.800008,0.51,0.57920354,,POINT (243047.65799999982 886852.2991999984)
574,RIVER ST @ CEDAR ST,204,136.5,41.8,4195.000004,0.443,0.669117647,,POINT (243037.4782000035 886870.2175999992)
575,RIVER ST @ STANDARD ST,204,390.6,41.8,4195.000004,0.443,1.914705882,,POINT (235425.52170000225 886907.7991999984)
576,RIVER ST OPP DUXBURY RD,204,90.7,41.8,4195.000004,0.443,0.444607843,,POINT (245840.5571999997 886909.758200001)
577,RIVER ST OPP LEAHAVEN RD,204,107.6,41.8,4195.000004,0.443,0.52745098,,POINT (235430.81769999862 886926.8924999982)
578,RIVER ST @ NEWCROFT CIRCLE,204,104.2,39.6,4733.099996,0.415,0.510784314,,POINT (245838.04640000314 886927.4237999991)
579,RIVER ST @ GLADESIDE AVE,204,50.3,41.8,4195.000004,0.443,0.246568627,,POINT (251184.15179999918 886927.7534000017)
580,RIVER ST @ FREMONT ST,204,67.7,39.6,4733.099996,0.415,0.331862745,,POINT (238796.55089999735 886932.2914000005)
